FACID,FNAME,302_CONTACT,302_PHONE,PRIMARY_CONTACT,PRIMARY_CONTACT_PHONE,PRIMARY_CONTACT_24HR,SECONDARY_CONTACT,SECONDARY_CONTACT_PHONE,SECONDARY_CONTACT_24HR
85533,Sapp Bros Petroleum Propane,Randy Benson,402-679-1390,Marc Scheer,,402-843-8484,Mike Nucio,,402-380-1655
85540,NNG Yutan #1 Town Border Sta,James J Knight,402-504-7946,Denise L Dolezal,402-504-7353,402-504-8142,James J Knight,402-504-7771,402-504-7946
85545,MUD Natural Gas Distribution,James J Knight,402-504-7946,Denise L Dolezal,402-504-7353,402-504-8142,James J Knight,402-504-7771,402-504-7946
85554,CenturyLink,Payton Michael,720-239-3774,UniCall,,866-864-2255,CenturyLink Work Center,,800-201-7033
85555,Bowie Fertilizer Inc,Ricky J Bowie,308-457-2161,Josh J Meier,308-987-2899,308-440-1902,Kelly Russman,308-987-2899,308-224-0097
85556,Tri-State Generation & Trans,Lucio Guevara Mendoza,800-230-6180,Lucio Guevara Mendoza,303-452-6111,800-230-6180,Andy Berger,303-452-6111,800-230-6180
85558,Eagle Unit,Dana Wreath,316-215-1220,Ed Hanes,308-340-5680,308-340-1910,Donna Stucky,316-265-3311,620-345-9878
85559,Camstone Unit,Dana Wreath,316-215-1220,Ed Hanes,308-340-5680,308-340-1910,Donna Stucky,316-265-3311,620-345-9878
85564,Schwartz Lease,Dana Wreath,316-215-1220,Ed Hanes,308-340-5680,308-340-1910,Donna Stucky,316-265-3311,620-345-9878
85574,Jormar Unit,Angie Bowling,303-744-1480,Kurt Nelson,303-744-1480,303-808-8110,Matt Nelson,303-744-1480,303-981-3840
85575,Nebraska Ash,Dale Kisling,402-432-0647,Joel Woita,402-434-7439,,Jennifer Koenig,402-434-7441,308-940-3172
85578,South Kenton Waterflood Unit,Angie Bowling,303-744-1480,Kurt Nelson,303-744-2034,303-808-8110,Matt Nelson,,303-981-3840
85591,XPO Logistics Freight Inc XGN,James Wheeler,785-819-2677,James Wheeler,402-694-5770,785-819-2677,Ben Oleson,734-210-5854,785-248-1779
85612,AT&T NE9159,Andrew Strom,612-615-3259,Andrew Strom,,612-615-3259,Jeremy McGrue,469-295-2319,800-566-9347
85613,AT&T NE0174,Andrew Strom,612-615-3259,Stewart Stepp,469-295-2319,913-207-2137,Jeremy McGrue,214-464-1712,800-566-9347
85614,AT&T NEA042/NE9158,,,Andrew Strom,,612-615-3259,Jeremy McGrue,214-464-1712,800-566-9347
85615,AT&T NE9163,,,Andrew Strom,,612-615-3259,Jeremy McGrue,214-464-1712,800-566-9347
85617,AT&T NEA034,EH&S Hotline,800-556-9347,EH&S Hotline,,800-556-9347,Jeremy McGrue,214-464-1712,800-566-9347
85637,Menards Distribution Center,Rob M Ebben,715-876-2300,Matt Petersen,402-359-8001,712-320-2569,Nick Schoenfuss,,402-359-8033
85676,Central Valley Ag,Doug Eisenmenger,800-535-5053,Grant Johnson,402-604-1301,800-535-5053,Austin F Person,402-694-1287,800-535-5053
85773,NMC CAT,Michael Deibert,308-765-2797,Michael Deibert,402-473-1080,308-765-2797,Trevor Tobias,,402-490-7331
85780,US GreenFiber LLC,Jerry Kaputa,803-322-2743,Dennis Pieper,402-379-6600,402-649-8144,Osmany Penton,402-270-7215,402-992-0222
85814,Valero Renewable Fuels Company,Sarah Moeller,712-577-1570,Andy Roberts,402-395-3510,402-802-5773,Sarah Moeller,303-945-7179,712-577-1570
85847,SalonCentric,Beau Fuller,406-590-8293,Jonathan Hart,402-934-6624,501-940-0984,Carol Bartholet,,402-697-5404
85849,Standard Iron Inc,Josh Kiiker,402-984-9252,Josh Kiiker,308-395-3900,402-984-9252,Ken Nauert,308-395-3900,402-469-8960
85861,GreenAmerica Biofuels Ord LLC,Les Glinsmann,308-227-1100,Les Glinsmann,308-496-4873,308-227-1100,Brian Collingham,402-631-2015,402-631-7323
85870,Target Store 0532,Andrew R Guenther,612-307-5600,Mark McKenzie,402-597-9900,612-307-5600,Andrew R Guenther,402-697-4930,612-307-5600
85871,Target Store 1777,Megan E Barth,612-307-5600,Robert W Stewart,402-697-4930,888-888-0304,Megan E Barth,402-697-4930,612-307-5600
85908,HD Supply WC101,Kyle Petrie,770-280-1616,Frank Schmader,402-592-1250,402-510-0083,Pat Riesberg,402-592-1250,402-510-3168
85911,Lowe's of Papillion 2611,Lowe's of Papillion 2611,402-516-0968,Hazmat Support Line,402-516-0968,888-429-6281,Brian Mullen,704-993-1564,888-429-6281
85921,Union Pacific Railroad,Thomas G Cappucci,307-778-3246,addressee UPRR RMCC,,888-877-7267,addressee UPRR RMCC,,888-877-7267
86000,Green Plains Wood River LLC,Eric Dreessen,402-319-7148,Eric Dreessen,308-392-3133,402-319-7148,Jason T Railsback,,402-540-6708
86026,POET Biorefining-Fairmont LLC,Godfrey Friedt,402-268-1900,Godfrey Friedt,402-268-1900,,Flint Hills Control Room,402-268-7904,402-268-1615
86263,NDOT Gering Yard 52601,Alan Sanford,308-650-1461,Alan Sanford,308-778-6918,308-650-1461,Jeremy Wells,308-436-6587,308-225-2500
86285,Methodist Womens Hospital,Val Goodman,402-354-8763,Kenny Walters,402-815-4000,402-720-4813,Jeffery Farmer,402-354-6862,402-812-7641
86328,AT&T OMAJNETMH04,MNOC Hotline,800-638-2822,MNOC Hotline,,800-638-2822,Jeremy McGrue,469-295-2319,800-566-9347
86331,Verizon Wireless,,,Network Operations Center,800-264-6620,800-386-9639,Paul Hausman,908-559-6560,800-386-9639
86365,Rawhide Chemoil Inc North,Jennifer Assmann,402-720-4804,Jennifer Assmann,402-721-7601,402-720-4804,Megan Moes,402-721-7601,402-350-2009
86367,Nutrien Ag Solutions,David Schissel,402-380-1728,Mitch Christensen,402-727-5550,402-881-7878,David Schissel,402-727-5550,402-380-1728
86368,Nebraska Warehouse Co,Tamara N Draeger,402-312-5599,Nick Bailey,402-896-2200,402-990-9618,Tamara N Draeger,402-894-4882,402-312-5599
86373,E Energy Adams LLC,Joe Oswalt,402-988-8161,Joe Oswalt,402-988-4655,402-988-8161,Mark Gouthro,402-988-2511,402-988-8778
86386,Target Store 0530,Timothy Guzinski,888-888-0304,Nicholas R Phillips,402-431-0060,612-307-5600,Timothy Guzinski,402-431-0060,888-888-0304
86403,OPPD Substation No 1256,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
86405,Mondelez Global LLC,Patty Lowry,760-468-7233,Jon Recher,,531-333-1798,Brian McCuen,,402-547-1411
86416,Sandhills Renewable Energy LLC,Scott Burger,402-860-4135,Nathan Nowlin,402-925-5570,712-339-5008,Scott Burger,402-925-5570,402-860-4135
86633,Farmers Pride Hwy Bulk Plant,Dawn Pochop,402-675-2375,Chad Napier,402-626-7997,402-336-6210,Bryan Daum,402-675-2375,402-649-3152
86673,Central Valley Ag,Rob Lindberg,800-535-5053,Rob Lindberg,402-380-8240,800-535-5053,Gary McBride,402-382-8093,800-535-5053
86751,Eco-Energy Distrb-Beatrice LLC,Billy Neal,402-223-0106,Billy Neal,402-806-7892,402-223-0106,Chadwick Conn,615-786-0401,202-997-9555
86761,Merck Animal Health,Abner Martinez,402-289-6093,Darren Stohlmann,402-593-2522,402-594-4862,Keri Frankl,402-359-6645,402-359-2201
86850,Tecumseh Poultry LLC,Jim Gutzwiller,308-440-5257,Rick Anderson,402-786-1081,402-580-4438,Vinh Tran,402-786-1108,402-975-7584
86865,Perrigo Animal Health,Ben McPeck,402-677-9884,Ben McPeck,402-758-2044,402-677-9884,,,
86905,Preferred Sands of Genoa LLC,Thomas M Buettner,402-948-0418,Thomas M Buettner,402-993-7263,402-948-0418,Todd Schleich,402-993-7263,402-270-5995
86954,Lincoln Industries Inc,Brent Wohl,402-440-6843,Mark Scranton,402-475-3671,308-249-1809,Eric Slezak,402-875-5638,402-450-2435
86957,Lowe's of South Lincoln 2739,Lowe's of South Lincoln 2739,402-420-3660,Hazmat Support Line,402-420-3660,888-429-6281,Brian Mullen,704-993-1564,888-429-6281
86959,CarMax 7270,Ali Woodworth,804-314-5465,Christina McClelland,804-747-0422,804-837-2898,Brian Davis,402-289-9989,531-203-4571
86963,Steele City Compressor Station,Danielle Mateyka,303-763-3471,Mary Teague,720-798-2207,330-715-4186,Jerold Looney,307-463-9751,307-399-4633
86989,AgReliant Genetics LLC,Rodger Haselhorst,402-360-4270,Rodger Haselhorst,402-347-5044,402-360-4270,Anthony Vogel,402-347-6049,402-841-2760
87071,Aurora Co-op Elevator Company,James Holliday,402-694-7713,Joe Stolpe,402-694-7891,402-710-0359,Bill Hunter,402-694-7629,402-631-3126
87072,KAAPA Partners Aurora LLC,Chad McKay,402-910-2191,Chad McKay,402-631-2008,402-910-2191,Tim Vogt,308-251-6024,308-293-2991
87203,TEC Equipment Inc,Chad E Watson,402-871-9273,Trevor X Kloetzli,503-894-2109,402-714-6016,Trevor X Kloetzli,503-894-2109,402-714-6016
87319,Cass County Highway Dept,Chad Korte,402-267-6765,Lenny R Thorne,402-296-9353,402-209-1280,Jerry Fleischman,402-296-9353,402-297-2534
87343,Nature's Variety Inc,,,Eric Ostgaard,,402-335-0424,Jens Andersen,402-466-8302,402-219-2908
87350,Cummins Sales & Service,Austin Geisler,816-266-8681,Andy Stewart,402-551-7678,402-999-6381,Austin Geisler,,816-266-8681
87369,Verizon Wireless W Omaha MSC,Paul Hausman,800-386-9639,Network Operations Center,800-264-6620,800-386-9639,Paul Hausman,908-559-6560,800-386-9639
87386,Frontier Cooperative,,,Nick Podliska,,402-276-9991,,,
87389,Chesterman Coca-Cola,Brian Gilliland,308-520-2779,Bridger Shipp,402-435-7137,402-416-9344,Jason Jordan,402-435-7137,402-318-4063
87390,Windstream Communications,Dean Busch,800-345-4484,Dean Busch,402-525-0294,800-345-4484,Jason Kohley,616-366-0995,800-345-4484
87401,Stratton Unit,Dana Wreath,316-215-1220,Ed Hanes,308-340-5680,308-340-1910,Donna Stucky,316-265-3311,620-345-9878
87406,York Rail Cement Terminal,Anthony Nisley,402-499-6366,Kraig Kuhnel,402-362-8163,402-366-4015,Joel Woita,402-434-7439,
87454,Dawson Public Power District,Bob Miller,308-440-9502,Bob Miller,,308-440-9502,Tony Hansen,,308-324-2386
87464,Bridgeport Ethanol LLC,Matt Rynearson,308-262-2020,Garrett Sigle,308-262-2020,308-672-0138,Jeff A Wickersham,970-522-1666,970-597-9916
87514,Costco Wholesale 1012,Dale Robertson,773-251-8979,Dale Robertson,402-952-3242,773-251-8979,Marcela Burriss,402-952-3242,913-378-3555
87639,OPPD Substation No 990,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
87640,OPPD Substation No 1252,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
87641,OPPD Substation No 1299,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2308,402-309-5957
87642,OPPD Substation No 1345,Luke P Haner,531-226-2335,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
87643,Crete Core Ingredients LLC,Tyler Havel,402-689-4937,Tyler Havel,402-826-2700,402-689-4937,Josh Ashley,,402-619-6515
87874,Midwest PMS LLC,Evan Trostel,303-819-0026,Isaac Gomez,308-324-5031,308-325-2598,Kevin Davis,303-684-5980,920-874-4084
87878,Midwest PMS LLC,Evan Trostel,303-819-0026,Randy Wochner,402-723-5630,402-631-9109,Kevin Davis,303-684-5980,303-224-4921
87879,Sloss Unit 99,Van Spence,303-460-1132,Joe Fennel,,308-235-5051,Rhonda Gathers,303-460-1132,303-249-4747
87880,WESTCO Agronomy,David W Briggs,308-762-3112,David Shields,308-762-3112,308-631-1446,Marvin Brown,308-436-2166,308-631-2253
87905,Central Sand & Gravel Porter,Bryan Campbell,402-510-9086,Justin Sindelar,,402-276-1114,Thomas Silknitter,,402-378-0146
88117,NPPD Hoskins Substation,NPPD Call Center,402-379-5990,NPPD Call Center,,402-379-5990,NPPD Call Center,,402-379-5990
88236,Central Valley Ag,Doug Eisenmenger,800-535-5053,Austen Person,402-694-1287,800-535-5053,Grant Johnson,402-604-1301,800-535-5053
88338,Nutrien Ag Solutions,Chad Freeman,402-510-8324,Chad Freeman,402-478-4153,402-510-8324,Mike Monke,402-478-4153,402-533-3754
88490,Sandhills Renewable Energy LLC,Scott Burger,402-860-4135,Nathan Nowlan,,712-339-5008,Scott Burger,402-925-5570,402-860-4135
88547,Bertrand Compressor Station,Don Muench,308-386-8247,Don Muench,,308-386-8247,Jerold Looney,307-463-9751,307-399-4633
88571,Cox Communications Omaha LLC,Brandy Brickey,760-806-2004,Central RSOC,,844-866-6288,Chris Maddox,,402-510-3006
88577,Army Aviation Support Facility,Noah T Dirks,402-309-8485,Derek J Lynaugh,,402-309-8210,Amanda L Gross,402-309-8671,402-309-8210
88670,Target Store 2303,Angie Tichota,612-307-5600,Steven A Bell,402-420-3540,612-307-5600,Angie Tichota,402-420-3540,612-307-5600
88773,Nutrien Ag Solutions,Taylor Gellerman,308-414-1276,Greg Poland,308-452-4129,308-870-1868,Taylor Gellerman,970-685-3300,308-414-1276
88914,Pro Oil Bulk Plant,Randy Benson,402-679-1390,Rondell L Cochran,308-284-2017,308-289-3995,Jesse Glassgow,308-284-2017,402-541-3909
88983,Helena Agri-Enterprises LLC,Connie Kerchal,308-882-8123,Shane Johnson,308-423-2942,308-882-1510,Connie Kerchal,308-423-2942,308-882-8123
89161,Agility Fuel Solutions,Eric E Fong,531-810-1160,Eric E Fong,,531-810-1160,Jeff L Cerny,,308-207-5715
89186,Aurora Co-op Elevator Company,James Holliday,402-694-7713,Randall C Horine,308-832-1382,308-830-1588,Justing Osterbuhr,308-832-1382,308-830-0287
89283,Central Sand & Gravel Co 97,Bryan Campbell,402-510-9086,Scott Norman,,402-510-9503,Thomas Silknitter,,402-378-0146
89357,AT&T 48th & Harrison USID9085,MNOC Hotline,800-638-2822,MNOC Hotline,214-464-1712,800-638-2822,Jeremy McGrue,469-295-2319,800-566-9347
89433,Target Store 2326,Trevin Nelson,612-307-5600,Dean Schmidt,402-970-1000,612-307-5600,Trevin Nelson,402-970-1000,612-307-5600
89686,Baldwin Filters Inc,Brian Perkins,308-455-7511,Brian Perkins,308-233-9478,308-455-7511,Cory Smallcomb,308-233-9453,308-440-8624
89693,Bayer Western Production Co,John Havlat,402-450-0141,Zachary Elsberry,402-728-5249,618-335-5246,Bella Jacobson,402-728-5249,309-335-2879
89697,Nutrien Ag Solutions,Travis Knippelmeyer,402-274-7725,Travis Knippelmeyer,402-868-3445,402-274-7725,Justin Miller,402-868-3445,402-335-8186
89699,Nebraska Central Telephone Co,Cody Feeken,308-216-0266,Cody Feeken,308-346-9981,308-216-0266,Pat McIlnay,308-468-9998,402-468-9981
89754,NDOT Naper Yard,Michael C Haney,402-340-0827,Chuck D Osborn,402-387-2472,402-760-0648,Michael C Haney,402-589-1340,402-340-0827
89845,Miown Fuel Company,David Zakovec,402-620-8939,David Zakovec,402-628-3055,402-628-3825,David Zakovec,402-628-3055,402-628-3825
89856,NDOT Stapleton Yard,Ross Bryant,531-739-8930,Ross Bryant,308-221-0209,531-739-8930,Lynn Pyzer,308-520-3797,308-530-3320
89857,NDOT Nebraska City Yard,Robert Rankin,402-416-0598,Trevor C Jasa,402-873-6260,402-274-8562,,,
89858,Sapp Bros Columbus,Randy Benson,402-679-1390,Jeff Johnson,402-564-8268,402-910-2362,Todd Bardsley,402-362-4974,402-720-7160
89860,Airgas USA LLC,Daniel Szymaszek,920-572-6377,Mike Smith,402-339-8080,402-490-1551,Emergency Phone Number,,866-734-3438
89870,AT&T NEA041/NE9154,Andrew Strom,612-615-3259,Andrew Strom,,612-615-3259,Jeremy McGrue,469-295-2319,800-566-9347
89885,Trotter Oil Co Cardtrol & Bulk,Brian Miller,308-202-0306,Brian Miller,308-789-6292,308-202-0306,Justin Wroblewski,308-789-6292,308-730-0751
90041,D & D Foods,Chuck Logan,402-290-5417,Chuck Logan,402-998-2431,402-290-5417,Eric Gharst,402-998-2401,913-645-0185
90150,Ingredion Incorporated,,,Christopher Aldrich,402-870-1592,,Eric Hazuka,712-899-2213,402-241-7377
90197,Simplot Grower Solutions,Robert L Warburton,308-270-1170,Michael D Wilbur,,308-830-9256,Mary A Anderson,402-366-8523,308-455-6284
90587,Sapp Bros Petroleum Bulk Plant,Randy Benson,402-679-1390,Kevin Meyer,402-662-4435,402-239-7481,Terry Oltman,402-466-5522,402-416-4902
90607,Southwest Fertilizer Inc,Brad Williams,308-340-9268,Frederick A Bosselman,308-381-6900,308-380-0779,Mike Epp,308-398-6368,402-705-8301
90623,Jiffy Lube 3196,Lillian Nicholson,972-812-7910,Richard Carver,972-812-7900,972-812-7967,Richard Carver,972-812-7900,972-812-7967
90624,Jiffy Lube 3241,,,Chris Farrill,,972-812-7967,Steve Werner,,425-791-2204
90633,Norder Supply Inc,Tedman Norder,402-535-5053,Scott Bonifas,402-984-6223,800-535-5053,Cody Lightwine,402-759-2356,800-535-5053
90654,Galyen Energy Supply LLC,Mitch Ozenbaugh,402-759-1524,Mitch Ozenbaugh,402-627-2235,402-759-1524,Nicole Mosier,402-627-2235,402-794-1192
90662,Frontier Cooperative,,,Dave Reese,,402-209-0855,James Hartshorn,402-873-3391,402-580-3584
90668,Farmers Cooperative Bulk/Chems,,,Aaron D Svehla,402-266-4851,402-640-7306,Christian Conaway,402-266-5951,970-685-8274
90669,AT&T NEA043,,,AT&T EHS Hotline,,800-566-9347,Jeremy McGrue,469-295-2319,800-566-9347
90690,Target Store 2383,Reann Hudson,612-307-5600,Robert King,402-201-2658,612-307-5600,Reann Hudson,402-201-2658,612-307-5600
90716,Norder Supply Inc,Tedman Norder,402-535-5053,Kevin D Koenig,402-375-1518,800-535-5053,Cody Lightwine,402-759-2356,800-535-5053
90741,Lowe's of Northwest Omaha 1520,Hazmat Support Line,888-429-6281,Hazmat Support Line,402-492-1200,888-429-6281,Brian Mullen,704-993-1564,888-429-6281
90777,Home Health Medical Equipment,Todd Driver,402-371-6550,Kelsey M Westberg,402-371-6550,800-672-0036,Viola Lenox,402-841-9893,
90778,Trafcon Inc,Chad Bentley,402-429-8565,Jesus Lopez Mendez,402-473-3686,402-381-8568,,,
90796,Creston Fertilizer Co Inc,Alan M Feller,402-375-0905,Alan M Feller,402-529-6858,402-375-0905,Alan M Feller,402-529-6858,402-380-3821
90845,CPI Hastings Hub Agronomy Ctr,Brian Arnold,402-469-5964,Rob Evers,402-462-8277,308-991-2763,Mike Battin,402-744-0652,785-421-8327
91087,Sapp Bros Petroleum Inc,Randy Benson,402-679-1390,Jeff Johnson,402-564-8268,402-910-2362,Todd Bardsley,402-362-4974,402-720-7160
91120,Legacy Coop,Skip Kelley,308-630-5231,Jason Rupp,308-630-5317,308-631-3807,Janelle Smith,308-532-5301,308-458-8798
91137,Love's Travel Stop 309,,,General Manager 309,402-694-2802,402-242-2543,Chris Weldon,405-751-9000,405-242-2543
91148,CHS Inc,Gary Perowitz,320-287-3109,Thomas Vacura,308-995-8626,308-655-1745,Jeff Ernstmeyer,308-995-8626,308-991-3180
91274,Paulsen Inc,Carlos Avalos,308-529-5470,Carlos Avalos,308-784-3333,308-529-5470,Jacob T Rush,308-784-3333,308-325-9825
91435,Sunbelt Rentals 415,Joshua Johnson,402-466-1550,Joshua Johnson,,402-466-1550,Morgan Lutz,402-378-1663,402-466-1550
91648,Airgas USA LLC,Daniel Szymaszek,920-572-6377,Jim Parten,,402-902-0684,Emergency Phone Number,,866-734-3438
91666,Lyman-Richey Sand & Gravel 04,Bryan Campbell,402-510-9086,Jake Bergren,,402-306-1030,Thomas Silknitter,,402-378-0146
92178,Novozymes Blair Inc,Vanessa Rising,919-623-2912,Vanessa Rising,,919-623-2912,Andy Knutson,,919-623-2912
92190,Yahoo Inc NE1,Lindsey Schwartz,703-403-1105,Ralph Waste,402-686-0625,408-349-4357,Johnnie Shaw,402-943-6256,703-265-4357
92283,OPPD Omaha Service Center,Tim J Potts,531-226-5226,Jeremy A Bowers,531-226-2430,402-320-4220,Megan B Seymour,531-226-2630,402-309-5957
92285,Farmers Co-op Assn Fertilizer,Pamela Treffer,308-380-0986,Mark Stecker,308-388-9212,308-380-0250,Brian Weatherwax,308-388-9212,620-309-2560
93075,U-Mix,Jerry Hurt,402-944-7088,Nik Root,402-944-7033,404-890-3737,Jennifer Koenig,402-434-7441,308-940-3172
93245,PetroChoice Dynamo LLC,Bob Burks,402-699-4227,Bob Burks,,402-699-4227,Todd Sherwin,,215-360-7796
93267,St Paul Ready Mix Plant,Tim Oltman,308-750-0324,Kraig Kuhnel,,402-366-4015,Joel Woita,402-434-7439,
93268,Heidemann Farms 1-13 Lease,Brian W Ackman,303-831-1912,Gary Haack,308-682-5563,308-241-1751,Chris Pettinger,,303-831-1912
93269,Sue Ann Wilson 15-34 Lease,Brian W Ackman,303-831-1912,Gary Haack,308-682-5563,308-241-1751,Chris Pettinger,,303-831-1912
93270,R L Stevens Lease,Kurt Nelson,303-808-8110,Kurt Nelson,303-744-2034,303-808-8110,Matt Nelson,303-744-1480,303-981-3840
93271,Stueve Lease,Kurt Nelson,303-808-8110,Kurt Nelson,303-744-2034,303-808-8110,Matt Nelson,303-744-1480,303-981-3840
93273,Pahl Lease,Angie Bowling,303-744-1480,Kurt Nelson,303-744-2034,303-808-8110,Matt Nelson,303-744-1480,303-981-3840
93274,Rippe B Lease,Angie Bowling,303-744-1480,Kurt Nelson,303-744-1480,303-808-8110,Matt Nelson,303-744-1480,303-981-3840
93275,Sparks A Lease,Angie Bowling,303-744-1480,Kurt Nelson,303-744-1480,303-808-8110,Matt Nelson,303-744-1480,303-981-3840
93277,League Lease,Dana Wreath,316-215-1220,Ed Hanes,308-340-5680,308-340-1910,Donna Stucky,316-265-3311,620-345-9878
93278,Millennium Unit,Dana Wreath,316-215-1220,Ed Hanes,308-340-5680,308-340-1910,Donna Stucky,316-265-3311,620-345-9878
93279,NDOT Harrison Yard 51300,Austin Page,380-430-4913,John Lutz,308-436-6587,308-279-0698,Karl Witt,308-432-6144,308-430-4912
93282,Bed Canyon Field - Quick Lease,Carl Dean,303-918-2021,Dave Beasley,,308-340-4677,Richard Dean,303-771-2343,303-918-2021
93283,Hayes Center West Field - Gohl,Carl Dean,303-918-2021,Dave Beasley,,308-340-4677,Richard Dean,303-771-2343,720-949-1265
93284,Mathewson 1-20,Carl Dean,303-918-2021,Bob Vincent,,308-235-7063,Carl Dean,303-771-2343,303-918-2021
93504,Invenergy Prairie Breeze 2 & 3,Daniel Tillis,402-843-8826,Daniel Tillis,,402-843-6826,Sam Taylor,,970-520-7624
93550,GFG Ag Services LLC,John Walker Luedtke,402-443-7873,John Walker Luedtke,402-647-2255,402-443-7873,Chris Wolfe,402-647-2255,402-480-0297
94087,Love's Travel Stop 390,,,General Manager 390,308-534-4610,405-242-2543,Chris Weldon,405-302-6673,405-242-2543
94545,Hallam Fertilizer Warehouse,,,Shane Kearns,402-787-0218,308-360-1841,Robert Moritz,402-787-0218,402-239-4055
94851,Flat Water Wind Farm LLC,Leon Wagner,832-986-2988,Leon Wagner,402-386-5836,713-385-4430,Jimmy Delgado,713-263-8166,832-754-1407
95479,Charter Communications NE31385,Martin Kovarik,308-440-8673,Steve Beaman,720-699-4884,432-661-9722,Matthew McAdams,512-485-1481,720-635-6540
95604,Nebraska Central Telephone Co,Jeff Hartman,308-212-0150,Jeff Hartman,308-935-9981,308-212-0152,Pat McIlnay,308-468-9981,402-468-9981
95613,Shoemaker's Truck Station Inc,David Shoemaker,402-560-1233,David Shoemaker,402-474-1995,402-560-1233,Ryan Shoemaker,402-474-1995,402-560-7283
95681,LightEdge Data Center,Zak Moore,402-719-3899,Zak Moore,402-819-7438,402-719-3899,Eric Germany,402-235-6186,402-321-2716
95711,NDOT Oshkosh Yard 51600,Alan Sanford,308-650-1461,Alan Sanford,308-262-1925,308-650-1461,Clinton Ryan,308-262-1925,308-262-5170
95712,Frontier Cooperative,,,Jay Fischer,402-274-4417,402-274-3509,Dave Reese,402-873-3391,402-873-5811
95713,NDOT Big Springs Yard,Matthew R Mulhollen,308-660-0845,Matthew R Mulhollen,308-660-5418,308-660-0845,Robert Hilton,308-284-8070,308-289-1659
95714,Heartland Co-op,Nick Steinbach,515-201-1328,Craig Gardner,,402-521-1097,Nick Steinbach,,515-201-1328
95732,NDOT Norfolk Salt Shed,Dean Guenther,402-380-4343,Chris Tuttle,402-370-3477,402-750-2991,Dean Guenther,402-370-3477,402-380-4343
95733,NDOT Strang Yard,Rex A Steinacher,402-362-9035,Rex A Steinacher,402-759-3319,402-362-9035,Ben Merchant,308-385-6265,
95735,WJD Ranch 42-22,Shera A Smith,303-709-6158,Chris A Smith,303-709-6158,303-709-6157,Aaron Deboodt,,308-241-1666
95736,Haase 24-10,Shera A Smith,303-709-6158,Chris A Smith,303-709-6158,303-709-6157,Aaron Deboodt,,308-241-1666
95746,Verizon Wireless Prospector,,,Network Operations Center,800-264-6620,800-386-9639,Paul Hausman,908-559-6560,800-386-9639
95749,Wenzel Ida 1,Angie Bowling,303-744-1480,Kurt Nelson,303-808-8110,303-808-8110,Matt Nelson,,303-981-3840
95750,Saia Motor Freight Line LLC,Lisa Hardgrove,777-232-5067,Jonah Dillman,402-592-7110,800-580-4632,Saia Emergency / Safety Dept,,800-580-4632
95751,Jeniene Lease,Dana Wreath,316-215-1220,Ed Hanes,308-340-5680,308-340-1910,Donna Stucky,316-265-3311,620-345-9878
95753,NDOT Newcastle Yard,Jennifer Faling,402-369-1293,Kenneth J Neuhalfen,,402-369-1291,Jennifer Faling,402-375-2078,402-369-1293
95754,Veritiv Operating Company,Dan Doornenbal,515-229-6439,Jeremy Glouser,,515-298-9794,Mike Bentheimer,636-651-3830,314-602-9197
95755,L Street Warehouse,Michael Williams,406-697-4038,Michael Williams,402-729-8063,406-697-4038,Justin Hughes,270-570-5893,
95781,Art Pirnie 6-3,Brian W Ackman,303-831-1912,Gary Haack,308-682-5563,308-241-1751,Chris Pettinger,,303-831-1912
95782,Wyss Lease,Dana Wreath,316-215-1220,Ed Hanes,308-340-5680,308-340-1910,Donna Stucky,316-265-3311,620-345-9878
95785,AmeriGas,Aaron Grissom,307-274-0952,Aaron Grissom,,307-274-0952,Bob Cassidy,,760-250-8317
95806,Aurora Co-op Elevator Company,James Holliday,402-694-7713,Matt Koperski,308-382-3030,308-850-7147,Kevin L Miller,308-382-3030,308-390-7224
95818,TransCanada Keystone Pipeline,Virgil Pfennig,402-889-7383,Virgil Pfennig,402-492-1415,402-889-7383,Ryan Berger,918-581-1902,918-285-6174
95997,Constructors Inc Plant 1600,Josh Broekemeier,402-276-7444,Jesus Lopez Mendez,,402-381-8568,,,
96011,Consolidated Sand & Gravel,Rick Dorn,402-239-7705,Jon Kelch,402-228-5467,402-223-9055,Jennifer Koenig,402-434-7441,308-940-3172
96121,Mosier B,Angie Bowling,303-744-1480,Kurt Nelson,303-808-8110,303-808-8110,Matt Nelson,,303-981-3840
96310,Omni Engineering Plant 04562,Rosa Mendoza,515-414-6577,Kyle Timmer,402-895-6666,507-822-0146,George Buthman,,515-512-3668
96388,Hawkins Water Treatment Group,Travis Haus,612-617-8624,Ezra Stubbe,402-277-9409,402-740-2452,Weston DiBlasi,612-617-8551,816-797-3729
96410,Viterra USA Grain LLC,Javier Ortego,970-630-9980,Javier Ortego,308-313-7820,970-630-9980,David Spahn,308-313-7820,308-883-2332
